14.02.2022 11:36:28.221 INFO  - Start parsing: https://bank.gov.ua/ua/statistic/nbureport/regindicator-statreport/files-21 ...
14.02.2022 11:36:29.305 DEBUG - tr:1
14.02.2022 11:36:29.306 DEBUG - 	td0:Балансова звітність банків
14.02.2022 11:36:29.338 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.338 DEBUG - 	td:11:t6bx
14.02.2022 11:36:29.338 DEBUG - tr:20
14.02.2022 11:36:29.338 DEBUG - 	td0:30.12.2021
14.02.2022 11:36:29.338 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.338 DEBUG - 	td:2:'Registry (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.339 DEBUG - 	td:3:30.12.2021
14.02.2022 11:36:29.339 DEBUG - 	td:4:'Controls (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.339 DEBUG - tr:21
14.02.2022 11:36:29.339 DEBUG - 	td0:6CX
14.02.2022 11:36:29.339 DEBUG - 	td:1:6CX
14.02.2022 11:36:29.339 DEBUG - 	td:2:"Інформація про суб’єктів господарської діяльності, у яких власник істотної участі в банку має участь, що перевищує 10 відсотків"
14.02.2022 11:36:29.339 DEBUG - 	td:3:22.11.2019
14.02.2022 11:36:29.340 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.340 DEBUG - 	td:5:19.09.2018
14.02.2022 11:36:29.340 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.340 DEBUG - 	td:7:
14.02.2022 11:36:29.340 DEBUG - 	td:8:
14.02.2022 11:36:29.340 DEBUG - 	td:9:22.11.2019
14.02.2022 11:36:29.340 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.340 DEBUG - 	td:11:t6cx
14.02.2022 11:36:29.340 DEBUG - tr:22
14.02.2022 11:36:29.341 DEBUG - 	td0:6DX
14.02.2022 11:36:29.341 DEBUG - 	td:1:6DX
14.02.2022 11:36:29.341 DEBUG - 	td:2:"Дані про дотримання економічних нормативів та лімітів відкритої валютної позиції"
14.02.2022 11:36:29.341 DEBUG - 	td:3:31.08.2021
14.02.2022 11:36:29.341 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.341 DEBUG - 	td:5:04.07.2019
14.02.2022 11:36:29.341 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.341 DEBUG - 	td:7:17.12.2021
14.02.2022 11:36:29.341 DEBUG - 	td:8:Description
14.02.2022 11:36:29.342 DEBUG - 	td:9:22.08.2019
14.02.2022 11:36:29.342 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.342 DEBUG - 	td:11:t6dx
14.02.2022 11:36:29.342 DEBUG - tr:23
14.02.2022 11:36:29.342 DEBUG - 	td0:6EX
14.02.2022 11:36:29.342 DEBUG - 	td:1:6EX
14.02.2022 11:36:29.342 DEBUG - 	td:2:"Дані про фактичні відпливи та надходження грошових коштів"
14.02.2022 11:36:29.342 DEBUG - 	td:3:14.07.2021
14.02.2022 11:36:29.342 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.342 DEBUG - 	td:5:15.11.2018
14.02.2022 11:36:29.343 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.343 DEBUG - 	td:7:14.07.2021
14.02.2022 11:36:29.343 DEBUG - 	td:8:Description
14.02.2022 11:36:29.343 DEBUG - 	td:9:13.03.2019
14.02.2022 11:36:29.343 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.343 DEBUG - 	td:11:t6ex
14.02.2022 11:36:29.343 DEBUG - tr:24
14.02.2022 11:36:29.343 DEBUG - 	td0:30.12.2021
14.02.2022 11:36:29.343 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.343 DEBUG - 	td:2:'Registry (зі звітної дати 01.03.2022)
14.02.2022 11:36:29.343 DEBUG - 	td:3:30.12.2021
14.02.2022 11:36:29.344 DEBUG - 	td:4:'Description (зі звітної дати 01.03.2022)
14.02.2022 11:36:29.344 DEBUG - tr:25
14.02.2022 11:36:29.344 DEBUG - 	td0:6FX
14.02.2022 11:36:29.344 DEBUG - 	td:1:6FX
14.02.2022 11:36:29.344 DEBUG - 	td:2:"Дані про контрагента/пов’язану з банком особу"
14.02.2022 11:36:29.345 DEBUG - 	td:3:28.01.2021
14.02.2022 11:36:29.345 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.345 DEBUG - 	td:5:10.10.2018
14.02.2022 11:36:29.345 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.345 DEBUG - 	td:7:29.10.2021
14.02.2022 11:36:29.345 DEBUG - 	td:8:Description
14.02.2022 11:36:29.345 DEBUG - 	td:9:30.12.2021
14.02.2022 11:36:29.346 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.346 DEBUG - 	td:11:t6fx
14.02.2022 11:36:29.346 DEBUG - tr:26
14.02.2022 11:36:29.346 DEBUG - 	td0:30.12.2021
14.02.2022 11:36:29.346 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.346 DEBUG - 	td:2:'Description (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.347 DEBUG - 	td:3:13.01.2022
14.02.2022 11:36:29.347 DEBUG - 	td:4:'Controls (зі звітної дати 01.03.2022)
14.02.2022 11:36:29.347 DEBUG - tr:27
14.02.2022 11:36:29.347 DEBUG - 	td0:6GX
14.02.2022 11:36:29.347 DEBUG - 	td:1:6GX
14.02.2022 11:36:29.348 DEBUG - 	td:2:"Дані за договором за активними операціями з контрагентами/пов’язаними з банком особами"
14.02.2022 11:36:29.348 DEBUG - 	td:3:28.01.2021
14.02.2022 11:36:29.348 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.348 DEBUG - 	td:5:26.10.2021
14.02.2022 11:36:29.348 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.348 DEBUG - 	td:7:29.10.2021
14.02.2022 11:36:29.349 DEBUG - 	td:8:Description
14.02.2022 11:36:29.349 DEBUG - 	td:9:30.12.2021
14.02.2022 11:36:29.349 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.349 DEBUG - 	td:11:t6gx
14.02.2022 11:36:29.349 DEBUG - tr:28
14.02.2022 11:36:29.349 DEBUG - 	td0:30.12.2021
14.02.2022 11:36:29.349 DEBUG - 	td:1:30.12.2021
14.02.2022 11:36:29.350 DEBUG - 	td:2:'Description (зі звітної дати 01.02.2022)
14.02.2022 11:36:29.350 DEBUG - tr:29
14.02.2022 11:36:29.350 DEBUG - 	td0:6HX
14.02.2022 11:36:29.350 DEBUG - 	td:1:6HX
14.02.2022 11:36:29.350 DEBUG - 	td:2:"Дані за валютами та траншами за активними операціями з контрагентами/пов’язаними з банком особами"
14.02.2022 11:36:29.350 DEBUG - 	td:3:29.10.2021
14.02.2022 11:36:29.351 DEBUG - 	td:4:Registry
14.02.2022 11:36:29.351 DEBUG - 	td:5:29.11.2019
14.02.2022 11:36:29.351 DEBUG - 	td:6:Domain_List
14.02.2022 11:36:29.351 DEBUG - 	td:7:29.10.2021
14.02.2022 11:36:29.351 DEBUG - 	td:8:Description
14.02.2022 11:36:29.351 DEBUG - 	td:9:30.12.2021
14.02.2022 11:36:29.351 DEBUG - 	td:10:Controls
14.02.2022 11:36:29.352 DEBUG - 	td:11:t6hx
14.02.2022 11:36:29.352 DEBUG - tr:30
14.02.2022 11:36:29.352 DEBUG - 	td0:30.12.2021
